content_hash_id,refresh_score,gsc_clicks,gsc_impressions,gsc_avg_position,days_since_update,priority
content_b80fc15e5a716497,1.0,0,0,,97,High
content_60576ee1b4d36202,1.0,0,11,12.363636363636363,97,High
content_07f1fdb8d2a0cf9d,1.0,0,13,15.076923076923077,97,High
content_df25ef721923ffaa,1.0,0,160,36.66875,97,High
content_3123e7f81b4ef9f3,1.0,0,105,21.83809523809524,97,High
content_5506c2e90de0e76a,1.0,0,48,15.604166666666666,13,High
content_5e5dcd09b74092fe,1.0,0,43,22.232558139534884,97,High
content_16bec39ef931199a,1.0,0,112,21.125,-13,High
content_aaf54b9fdcde4f16,1.0,0,0,,97,High
content_e489042a0edfc857,1.0,0,20,20.15,97,High
content_54a989e78783889e,1.0,0,67,25.850746268656717,-34,High
content_4d334daf71c0a983,1.0,0,0,,97,High
content_9effce8eaff74c18,1.0,0,0,,97,High
content_faa173efe1ef768d,1.0,1,104,23.932692307692307,-13,High
content_bee4ccfa36cae60a,1.0,0,18,33.5,97,High
content_8fe845ae689a00a5,1.0,0,298,28.546979865771814,-34,High
content_511fd70890796001,1.0,0,37,23.62162162162162,-26,High
content_3a1695f29327d4b5,1.0,2,220,22.295454545454547,-13,High
content_dd7c7fb006d22d94,1.0,0,0,,97,High
content_d44c9333cdf549d2,1.0,0,490,8.79795918367347,-13,High
content_3f31a516506d92f4,1.0,0,12,18.916666666666668,97,High
content_ca364ab13a334f3f,1.0,0,18,23.0,97,High
content_31c78cf2acd1c23f,1.0,0,0,,97,High
content_6cb553590c2f3d9c,1.0,0,92,24.967391304347824,97,High
content_18423e22dc2c2699,1.0,0,0,,97,High
content_d69bce454423844c,1.0,1,106,27.566037735849058,-13,High
content_842d54dbd6470483,1.0,0,5,25.2,97,High
content_85968e77363288a9,1.0,0,0,,97,High
content_cab2f0a59e11600d,1.0,0,144,15.770833333333334,-13,High
content_81f00060a27df806,1.0,0,7,4.714285714285714,97,High
content_99fa046acf5abe93,1.0,0,16,44.625,97,High
content_b73e20c056285088,1.0,0,29,9.310344827586206,-13,High
content_028f62298d5eb4e6,1.0,0,0,,97,High
content_e99f8c77bcefc889,1.0,0,79,35.54430379746835,97,High
content_6fe652d542ce571e,1.0,0,0,,97,High
content_5491cd69b5d6d8e5,1.0,0,1,36.0,97,High
content_fb24de171e9e8dcd,1.0,0,8,6.0,97,High
content_d8bcc59f8a9566c1,1.0,0,41,22.390243902439025,-34,High
content_31eada85a1fab19e,1.0,0,0,,97,High
content_b44700d989efa327,1.0,0,0,,97,High
content_2f6a80d63f2d26ea,1.0,0,2,10.0,97,High
content_e2647f14f7fd4bac,1.0,0,113,9.150442477876107,97,High
content_7f7d40e1522b6dc9,1.0,0,2,3.5,97,High
content_5646e49eb38c85e1,1.0,0,0,,97,High
content_3a0009d2fe0f3a89,1.0,0,0,,97,High
content_253c85b3231603fe,1.0,0,0,,97,High
content_4a31d6b8e9f9e6c0,1.0,0,1,38.0,97,High
content_579788317f05dd81,1.0,0,0,,97,High
content_c23dd34230356982,1.0,0,238,22.432773109243698,-13,High
content_f48f6d992c40ac9f,1.0,0,3,34.333333333333336,97,High
content_887428d8dad0d17f,1.0,0,0,,97,High
content_19243f35b784ddbe,1.0,0,0,,97,High
content_c0e8e794f4471a51,1.0,0,10,3.9,97,High
content_b07752bc2a1f50eb,1.0,0,1,16.0,97,High
content_6295ef247cdfa9ce,1.0,0,30,40.36666666666667,97,High
content_a881bc7ccc6d541c,1.0,0,107,9.467289719626168,-13,High
content_18e5011ee2d83058,1.0,0,0,,97,High
content_06b6f3544e8a3588,1.0,0,0,,97,High
content_942d8b52132995f3,1.0,0,0,,97,High
content_40e0eadb44ff58dd,1.0,0,7,52.285714285714285,97,High
content_bcc8a2e54517c792,1.0,0,217,7.852534562211981,-13,High
content_4227e7f0c15d020f,1.0,0,22,33.5,97,High
content_8af2ec754a736a5c,1.0,0,0,,97,High
content_939fdb1f571d6918,1.0,0,56,19.160714285714285,97,High
content_37d69fca775927fb,1.0,0,8,69.25,97,High
content_de78281f22bf09df,1.0,0,0,,97,High
content_8d8f5fa35e10c810,1.0,0,0,,97,High
content_7c7f399ab41e3f41,1.0,0,15,49.53333333333333,97,High
content_d4dd42a4fcf45fae,1.0,0,0,,97,High
content_6b293cbb314e0adb,1.0,0,7,16.714285714285715,97,High
content_351108fcb27d053e,1.0,0,0,,97,High
content_12444e383a53d45f,1.0,0,2,31.5,97,High
content_0e3da2f84942ed43,1.0,0,154,21.954545454545453,-13,High
content_578d64f5219b07b9,1.0,0,1,35.0,97,High
content_e1d6bafce5a61346,1.0,0,148,8.864864864864865,-24,High
content_776809868d3f89bb,1.0,0,0,,97,High
content_35eaacf22b162a4c,1.0,0,2,5.0,97,High
content_ad59915d9cae15bc,1.0,0,0,,97,High
content_af4b8b2640553766,1.0,0,0,,97,High
content_07d1342372255c1f,1.0,0,297,48.64309764309764,-34,High
content_6b99b48eee002d81,1.0,0,0,,97,High
content_625174cd05cf206a,1.0,0,39,6.641025641025641,-24,High
content_7c9634c506f97209,1.0,0,9,4.333333333333333,97,High
content_d2dfa471299c0ff8,1.0,0,4,7.5,97,High
content_def711e28e10f76d,1.0,0,0,,97,High
content_56af5e517f238fce,1.0,0,108,8.37962962962963,-27,High
content_c840a8277d1e8fe2,1.0,0,11,46.63636363636363,97,High
content_66f334aa188ad34f,1.0,0,0,,97,High
